City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,palmer,42.1584,-72.3287,25.36,75,40,1.89,US,1687737532
83,dhandhuka,22.3667,71.9833,28.32,74,100,5.6,IN,1687737532
84,biltine,14.5333,20.9167,31.04,43,13,3.0,TD,1687737532
85,mangrol,21.1167,70.1167,28.01,80,100,6.94,IN,1687737532
86,iargara,46.4275,28.4367,18.59,80,100,4.72,MD,1687737453
87,trosa,58.8962,17.5481,16.23,80,4,1.17,SE,1687737532
88,zahedan,29.4963,60.8629,27.95,23,86,2.06,IR,1687737392
89,dunay,42.8803,132.3375,17.65,89,21,3.54,RU,1687737533
90,susuman,62.7833,148.1667,27.19,41,16,2.88,RU,1687737533
91,baoro,5.6667,15.9667,19.87,97,100,0.84,CF,1687737533
92,pekanbaru,0.5333,101.45,24.18,100,100,0.0,ID,1687737533
93,rakops,-21.0167,24.3333,14.77,36,0,3.58,BW,1687737533
94,thompson,55.7435,-97.8558,17.09,42,75,5.66,CA,1687737533
95,lakatoro,-16.0999,167.4164,25.1,53,65,4.76,VU,1687737534
96,lerwick,60.1545,-1.1494,14.0,95,98,4.57,GB,1687737534
97,miyaly,48.8844,53.7836,13.47,74,2,5.5,KZ,1687737534
98,kodinsk,58.6881,99.1844,16.89,77,100,1.09,RU,1687737534
99,yellowknife,62.456,-114.3525,16.29,44,40,5.66,CA,1687737329
100,nishinoomote,30.7333,131.0,28.31,89,75,3.09,JP,1687737534
101,fale old settlement,-9.3852,-171.2468,28.83,74,37,5.44,TK,1687737534
102,kenai,60.5544,-151.2583,14.05,73,100,4.63,US,1687737534
103,haiku-pauwela,20.9219,-156.3051,29.01,56,20,11.83,US,1687737296
104,uturoa,-16.7333,-151.4333,27.46,70,35,7.46,PF,1687737535
105,kodiak,57.79,-152.4072,11.73,76,75,4.63,US,1687737535
106,karratha,-20.7377,116.8463,17.85,47,58,3.56,AU,1687737535
107,plastun,44.7561,136.2939,22.99,70,36,2.45,RU,1687737535
108,figuig (centre),32.1089,-1.2286,29.81,13,32,1.61,MA,1687737535
109,tazovsky,67.4667,78.7,8.8,71,63,3.41,RU,1687737535
110,port alfred,-33.5906,26.891,13.99,94,100,1.34,ZA,1687737535
111,sinop,41.7711,34.8709,17.49,59,0,1.14,TR,1687737536
112,les cayes,18.2,-73.75,26.78,80,16,2.03,HT,1687737536
113,mahriz,31.5917,54.4318,25.28,26,0,3.15,IR,1687737536
114,vilyuchinsk,52.9306,158.4028,22.15,76,55,2.13,RU,1687737536
115,douentza,14.9951,-2.9517,32.7,39,96,4.9,ML,1687737536
116,urengoy,65.9667,78.3667,8.12,82,25,2.98,RU,1687737536
117,tobelo,1.7284,128.0095,27.59,79,58,1.59,ID,1687737536
118,san antonio de pale,-1.4014,5.6325,24.54,74,59,1.85,GQ,1687737536
119,juruti,-2.1522,-56.0922,26.68,68,33,1.27,BR,1687737536
120,bismarck,46.8083,-100.7837,25.8,52,0,3.6,US,1687737537
